ISO3,CR2,CR4
AFG,"1,911,537","9,018,022"
DZA,"1,694,677","7,546,595"
AGO,"2,082,441","10,858,462"
ARG,"2,342,126","9,383,560"
BGD,"9,893,550","47,571,631"
BRA,"8,847,681","35,460,821"
BFA,"953,904","4,840,054"
BDI,"655,888","3,327,086"
CMR,"1,626,003","8,477,161"
CAF,"203,814","1,034,094"
TCD,"778,369","3,949,685"
CHN,"53,502,433","241,408,958"
COL,"2,101,037","8,420,050"
CIV,"1,162,846","6,061,555"
CUB,"496,273","1,989,149"
PRK,0,0
COD,"5,826,068","29,562,433"
DOM,"239,684","960,527"
ECU,"451,250","1,808,265"
EGY,"5,996,003","26,702,450"
ERI,"180,265","914,099"
ETH,"3,736,276","18,954,864"
GMB,"150,113","761,820"
GHA,"1,333,104","6,947,361"
GTM,"373,675","1,497,663"
GIN,"774,729","3,930,751"
GNB,"101,756","516,307"
HTI,"355,046","1,407,473"
IND,"85,340,575","410,447,836"
IDN,"10,912,309","49,271,670"
IRN,"3,366,558","15,198,307"
IRQ,"965,039","4,354,389"
JOR,"315,960","1,426,736"
KAZ,"1,087,982","5,337,039"
KEN,"2,453,807","12,790,232"
LBR,"231,158","1,173,335"
MDG,"1,855,934","9,416,068"
MWI,"886,653","4,496,866"
MYS,"1,198,306","5,411,372"
MLI,"1,559,883","7,914,888"
MEX,"4,671,813","18,728,486"
MAR,"1,414,202","6,298,440"
MOZ,"1,658,917","8,412,621"
MMR,"3,440,717","15,312,383"
NPL,"1,724,539","8,298,974"
NER,"1,828,104","9,275,682"
NGA,"6,816,090","35,538,552"
PAK,"12,508,710","60,129,805"
PER,"690,540","2,767,893"
PHL,"4,912,799","21,883,830"
RUS,"3,685,255","15,046,061"
RWA,"729,362","3,699,834"
SLE,"306,728","1,556,757"
SOM,"806,027","4,088,923"
ZAF,"2,413,160","12,933,942"
SSD,"480,021","2,435,142"
LKA,"941,696","4,194,316"
SDN,"2,297,727","11,654,885"
SYR,"751,870","3,302,589"
TJK,"429,191","2,023,390"
THA,"2,198,543","9,930,633"
TGO,"457,399","2,320,144"
TUR,"5,739,632","25,919,599"
UGA,"2,082,119","10,561,529"
UKR,"1,028,478","4,174,349"
TZA,"2,710,206","14,127,112"
UZB,"953,934","4,585,069"
VNM,"5,318,954","23,692,568"
YEM,"1,244,571","5,467,494"
,"292,186,013","1,368,910,638"
